caseId,activity,lifecycle,activity_id
173688,A_SUBMITTED,COMPLETE,10
173688,A_PARTLYSUBMITTED,COMPLETE,7
173688,A_PREACCEPTED,COMPLETE,8
173688,W_Completeren aanvraag,SCHEDULE,20
173688,W_Completeren aanvraag,START,20
173688,A_ACCEPTED,COMPLETE,1
173688,O_SELECTED,COMPLETE,15
173688,A_FINALIZED,COMPLETE,6
173688,O_CREATED,COMPLETE,13
173688,O_SENT,COMPLETE,16
173688,W_Nabellen offertes,SCHEDULE,22
173688,W_Completeren aanvraag,COMPLETE,20
173688,W_Nabellen offertes,START,22
173688,W_Nabellen offertes,COMPLETE,22
173688,W_Nabellen offertes,START,22
173688,W_Nabellen offertes,COMPLETE,22
173688,W_Nabellen offertes,START,22
173688,O_SENT_BACK,COMPLETE,17
173688,W_Valideren aanvraag,SCHEDULE,23
173688,W_Nabellen offertes,COMPLETE,22
173688,W_Valideren aanvraag,START,23
173688,A_REGISTERED,COMPLETE,9
173688,A_APPROVED,COMPLETE,3
173688,O_ACCEPTED,COMPLETE,11
173688,A_ACTIVATED,COMPLETE,2
173688,W_Valideren aanvraag,COMPLETE,23
173691,A_SUBMITTED,COMPLETE,10
173691,A_PARTLYSUBMITTED,COMPLETE,7
173691,A_PREACCEPTED,COMPLETE,8
173691,W_Completeren aanvraag,SCHEDULE,20
173691,W_Completeren aanvraag,START,20
173691,W_Completeren aanvraag,COMPLETE,20
173691,W_Completeren aanvraag,START,20
173691,A_ACCEPTED,COMPLETE,1
173691,A_FINALIZED,COMPLETE,6
173691,O_SELECTED,COMPLETE,15
173691,O_CREATED,COMPLETE,13
173691,O_SENT,COMPLETE,16
173691,W_Nabellen offertes,SCHEDULE,22
173691,W_Completeren aanvraag,COMPLETE,20
173691,W_Nabellen offertes,START,22
173691,W_Nabellen offertes,COMPLETE,22
173691,W_Nabellen offertes,START,22
173691,O_SELECTED,COMPLETE,15
173691,O_CANCELLED,COMPLETE,12
